observed_at,station_id,demand
2026-07-26 00:00:00-05:00,02300,56
2026-07-26 00:00:00-05:00,03000,84
2026-07-26 00:00:00-05:00,05000,104
2026-07-26 00:00:00-05:00,05100,279
2026-07-26 00:00:00-05:00,06000,212
2026-07-26 00:00:00-05:00,06111,45
2026-07-26 00:00:00-05:00,07105,198
2026-07-26 00:00:00-05:00,07107,39
2026-07-26 00:00:00-05:00,07111,282
2026-07-26 00:00:00-05:00,09000,81
2026-07-26 00:00:00-05:00,09122,59
2026-07-26 00:00:00-05:00,10009,251
2026-07-26 00:15:00-05:00,02300,61
2026-07-26 00:15:00-05:00,03000,70
2026-07-26 00:15:00-05:00,05000,128
2026-07-26 00:15:00-05:00,05100,216
2026-07-26 00:15:00-05:00,06000,255
2026-07-26 00:15:00-05:00,06111,24
2026-07-26 00:15:00-05:00,07105,136
2026-07-26 00:15:00-05:00,07107,39
2026-07-26 00:15:00-05:00,07111,253
2026-07-26 00:15:00-05:00,09000,70
2026-07-26 00:15:00-05:00,09122,54
2026-07-26 00:15:00-05:00,10009,302
2026-07-26 00:30:00-05:00,02300,81
2026-07-26 00:30:00-05:00,03000,75
2026-07-26 00:30:00-05:00,05000,117
2026-07-26 00:30:00-05:00,05100,267
2026-07-26 00:30:00-05:00,06000,214
2026-07-26 00:30:00-05:00,06111,29
2026-07-26 00:30:00-05:00,07105,167
2026-07-26 00:30:00-05:00,07107,43
2026-07-26 00:30:00-05:00,07111,287
2026-07-26 00:30:00-05:00,09000,57
2026-07-26 00:30:00-05:00,09122,49
2026-07-26 00:30:00-05:00,10009,212
2026-07-26 00:45:00-05:00,02300,67
2026-07-26 00:45:00-05:00,03000,83
2026-07-26 00:45:00-05:00,05000,105
2026-07-26 00:45:00-05:00,05100,267
2026-07-26 00:45:00-05:00,06000,131
2026-07-26 00:45:00-05:00,06111,32
2026-07-26 00:45:00-05:00,07105,119
2026-07-26 00:45:00-05:00,07107,42
2026-07-26 00:45:00-05:00,07111,252
2026-07-26 00:45:00-05:00,09000,82
2026-07-26 00:45:00-05:00,09122,47
2026-07-26 00:45:00-05:00,10009,212
2026-07-26 01:00:00-05:00,02300,44
2026-07-26 01:00:00-05:00,03000,80
2026-07-26 01:00:00-05:00,05000,132
2026-07-26 01:00:00-05:00,05100,218
2026-07-26 01:00:00-05:00,06000,189
2026-07-26 01:00:00-05:00,06111,35
2026-07-26 01:00:00-05:00,07105,92
2026-07-26 01:00:00-05:00,07107,52
2026-07-26 01:00:00-05:00,07111,226
2026-07-26 01:00:00-05:00,09000,110
2026-07-26 01:00:00-05:00,09122,26
2026-07-26 01:00:00-05:00,10009,122
2026-07-26 01:15:00-05:00,02300,58
2026-07-26 01:15:00-05:00,03000,70
2026-07-26 01:15:00-05:00,05000,84
2026-07-26 01:15:00-05:00,05100,198
2026-07-26 01:15:00-05:00,06000,191
2026-07-26 01:15:00-05:00,06111,31
2026-07-26 01:15:00-05:00,07105,119
2026-07-26 01:15:00-05:00,07107,36
2026-07-26 01:15:00-05:00,07111,310
2026-07-26 01:15:00-05:00,09000,55
2026-07-26 01:15:00-05:00,09122,46
2026-07-26 01:15:00-05:00,10009,192
2026-07-26 01:30:00-05:00,02300,55
2026-07-26 01:30:00-05:00,03000,83
2026-07-26 01:30:00-05:00,05000,136
2026-07-26 01:30:00-05:00,05100,261
2026-07-26 01:30:00-05:00,06000,212
2026-07-26 01:30:00-05:00,06111,20
2026-07-26 01:30:00-05:00,07105,113
2026-07-26 01:30:00-05:00,07107,30
2026-07-26 01:30:00-05:00,07111,253
2026-07-26 01:30:00-05:00,09000,51
2026-07-26 01:30:00-05:00,09122,43
2026-07-26 01:30:00-05:00,10009,146
2026-07-26 01:45:00-05:00,02300,64
2026-07-26 01:45:00-05:00,03000,71
2026-07-26 01:45:00-05:00,05000,110
2026-07-26 01:45:00-05:00,05100,196
2026-07-26 01:45:00-05:00,06000,179
2026-07-26 01:45:00-05:00,06111,27
2026-07-26 01:45:00-05:00,07105,92
2026-07-26 01:45:00-05:00,07107,35
2026-07-26 01:45:00-05:00,07111,300
2026-07-26 01:45:00-05:00,09000,49
2026-07-26 01:45:00-05:00,09122,49
2026-07-26 01:45:00-05:00,10009,161
2026-07-26 02:00:00-05:00,02300,53
2026-07-26 02:00:00-05:00,03000,102
2026-07-26 02:00:00-05:00,05000,145
2026-07-26 02:00:00-05:00,05100,180
2026-07-26 02:00:00-05:00,06000,168
2026-07-26 02:00:00-05:00,06111,23
2026-07-26 02:00:00-05:00,07105,105
2026-07-26 02:00:00-05:00,07107,24
2026-07-26 02:00:00-05:00,07111,330
2026-07-26 02:00:00-05:00,09000,77
2026-07-26 02:00:00-05:00,09122,40
2026-07-26 02:00:00-05:00,10009,176
2026-07-26 02:15:00-05:00,02300,48
2026-07-26 02:15:00-05:00,03000,64
2026-07-26 02:15:00-05:00,05000,108
2026-07-26 02:15:00-05:00,05100,226
2026-07-26 02:15:00-05:00,06000,153
2026-07-26 02:15:00-05:00,06111,27
2026-07-26 02:15:00-05:00,07105,76
2026-07-26 02:15:00-05:00,07107,39
2026-07-26 02:15:00-05:00,07111,298
2026-07-26 02:15:00-05:00,09000,55
2026-07-26 02:15:00-05:00,09122,39
2026-07-26 02:15:00-05:00,10009,118
2026-07-26 02:30:00-05:00,02300,67
2026-07-26 02:30:00-05:00,03000,73
2026-07-26 02:30:00-05:00,05000,131
2026-07-26 02:30:00-05:00,05100,244
2026-07-26 02:30:00-05:00,06000,199
2026-07-26 02:30:00-05:00,06111,22
2026-07-26 02:30:00-05:00,07105,116
2026-07-26 02:30:00-05:00,07107,40
2026-07-26 02:30:00-05:00,07111,257
2026-07-26 02:30:00-05:00,09000,65
2026-07-26 02:30:00-05:00,09122,48
2026-07-26 02:30:00-05:00,10009,151
2026-07-26 02:45:00-05:00,02300,74
2026-07-26 02:45:00-05:00,03000,64
2026-07-26 02:45:00-05:00,05000,126
2026-07-26 02:45:00-05:00,05100,213
2026-07-26 02:45:00-05:00,06000,220
2026-07-26 02:45:00-05:00,06111,46
2026-07-26 02:45:00-05:00,07105,88
2026-07-26 02:45:00-05:00,07107,44
2026-07-26 02:45:00-05:00,07111,252
2026-07-26 02:45:00-05:00,09000,62
2026-07-26 02:45:00-05:00,09122,46
2026-07-26 02:45:00-05:00,10009,133
2026-07-26 03:00:00-05:00,02300,50
2026-07-26 03:00:00-05:00,03000,102
2026-07-26 03:00:00-05:00,05000,118
2026-07-26 03:00:00-05:00,05100,251
2026-07-26 03:00:00-05:00,06000,226
2026-07-26 03:00:00-05:00,06111,28
2026-07-26 03:00:00-05:00,07105,90
2026-07-26 03:00:00-05:00,07107,30
2026-07-26 03:00:00-05:00,07111,278
2026-07-26 03:00:00-05:00,09000,49
2026-07-26 03:00:00-05:00,09122,42
2026-07-26 03:00:00-05:00,10009,108
2026-07-26 03:15:00-05:00,02300,50
2026-07-26 03:15:00-05:00,03000,76
2026-07-26 03:15:00-05:00,05000,138
2026-07-26 03:15:00-05:00,05100,224
2026-07-26 03:15:00-05:00,06000,269
2026-07-26 03:15:00-05:00,06111,28
2026-07-26 03:15:00-05:00,07105,102
2026-07-26 03:15:00-05:00,07107,40
