station_id,station_name,corridor,latitude,longitude
03000,Portal Suba,Suba,4.74681506,-74.09427889
05000,Portal Américas,Américas,4.6293813,-74.17305845
09000,Portal Usme,Caracas,4.53171458,-74.11939098
02300,Calle 100 - Marketmedios,Autonorte,4.68394667,-74.05769591
09122,Calle 72,Caracas,4.65823884,-74.06206854
05100,Banderas,Américas,4.63130064,-74.14576938
07111,Ricaurte - NQS,NQS,4.6116862,-74.09386888
06000,Portal El Dorado – C.C. NUESTRO BOGOTÁ,Calle 26,4.6816043,-74.12139545
07107,Universidad Nacional,NQS,4.63711879,-74.07932113
06111,Universidades – CityU,Calle 26,4.60464286,-74.06730954
07105,Movistar Arena,NQS,4.65003852,-74.07834591
10009,Museo Nacional,Carrera 7-10,4.61524712,-74.06922646
